ch_no,t_ve,coe,voe,cavoe
1,7,Ganjil,Ganjil,Genap
2,286,Genap,Genap,Genap
3,200,Ganjil,Genap,Ganjil
4,176,Genap,Genap,Genap
5,120,Ganjil,Genap,Ganjil
6,165,Genap,Ganjil,Ganjil
7,206,Ganjil,Genap,Ganjil
8,75,Genap,Ganjil,Ganjil
9,129,Ganjil,Ganjil,Genap
10,109,Genap,Ganjil,Ganjil
11,123,Ganjil,Ganjil,Genap
12,111,Genap,Ganjil,Ganjil
13,43,Ganjil,Ganjil,Genap
14,52,Genap,Genap,Genap
15,99,Ganjil,Ganjil,Genap
16,128,Genap,Genap,Genap
17,111,Ganjil,Ganjil,Genap
18,110,Genap,Genap,Genap
19,98,Ganjil,Genap,Ganjil
20,135,Genap,Ganjil,Ganjil
21,112,Ganjil,Genap,Ganjil
22,78,Genap,Genap,Genap
23,118,Ganjil,Genap,Ganjil
24,64,Genap,Genap,Genap
25,77,Ganjil,Ganjil,Genap
26,227,Genap,Ganjil,Ganjil
27,93,Ganjil,Ganjil,Genap
28,88,Genap,Genap,Genap
29,69,Ganjil,Ganjil,Genap
30,60,Genap,Genap,Genap
31,34,Ganjil,Genap,Ganjil
32,30,Genap,Genap,Genap
33,73,Ganjil,Ganjil,Genap
34,54,Genap,Genap,Genap
35,45,Ganjil,Ganjil,Genap
36,83,Genap,Ganjil,Ganjil
37,182,Ganjil,Genap,Ganjil
38,88,Genap,Genap,Genap
39,75,Ganjil,Ganjil,Genap
40,85,Genap,Ganjil,Ganjil
41,54,Ganjil,Genap,Ganjil
42,53,Genap,Ganjil,Ganjil
43,89,Ganjil,Ganjil,Genap
44,59,Genap,Ganjil,Ganjil
45,37,Ganjil,Ganjil,Genap
46,35,Genap,Ganjil,Ganjil
47,38,Ganjil,Genap,Ganjil
48,29,Genap,Ganjil,Ganjil
49,18,Ganjil,Genap,Ganjil
50,45,Genap,Ganjil,Ganjil
51,60,Ganjil,Genap,Ganjil
52,49,Genap,Ganjil,Ganjil
53,62,Ganjil,Genap,Ganjil
54,55,Genap,Ganjil,Ganjil
55,78,Ganjil,Genap,Ganjil
56,96,Genap,Genap,Genap
57,29,Ganjil,Ganjil,Genap
58,22,Genap,Genap,Genap
59,24,Ganjil,Genap,Ganjil
60,13,Genap,Ganjil,Ganjil
61,14,Ganjil,Genap,Ganjil
62,11,Genap,Ganjil,Ganjil
63,11,Ganjil,Ganjil,Genap
64,18,Genap,Genap,Genap
65,12,Ganjil,Genap,Ganjil
66,12,Genap,Genap,Genap
67,30,Ganjil,Genap,Ganjil
68,52,Genap,Genap,Genap
69,52,Ganjil,Genap,Ganjil
70,44,Genap,Genap,Genap
71,28,Ganjil,Genap,Ganjil
72,28,Genap,Genap,Genap
73,20,Ganjil,Genap,Ganjil
74,56,Genap,Genap,Genap
75,40,Ganjil,Genap,Ganjil
76,31,Genap,Ganjil,Ganjil
77,50,Ganjil,Genap,Ganjil
78,40,Genap,Genap,Genap
79,46,Ganjil,Genap,Ganjil
80,42,Genap,Genap,Genap
81,29,Ganjil,Ganjil,Genap
82,19,Genap,Ganjil,Ganjil
83,36,Ganjil,Genap,Ganjil
84,25,Genap,Ganjil,Ganjil
85,22,Ganjil,Genap,Ganjil
86,17,Genap,Ganjil,Ganjil
87,19,Ganjil,Ganjil,Genap
88,26,Genap,Genap,Genap
89,30,Ganjil,Genap,Ganjil
90,20,Genap,Genap,Genap
91,15,Ganjil,Ganjil,Genap
92,21,Genap,Ganjil,Ganjil
93,11,Ganjil,Ganjil,Genap
94,8,Genap,Genap,Genap
95,8,Ganjil,Genap,Ganjil
96,19,Genap,Ganjil,Ganjil
97,5,Ganjil,Ganjil,Genap
98,8,Genap,Genap,Genap
99,8,Ganjil,Genap,Ganjil
100,11,Genap,Ganjil,Ganjil
101,11,Ganjil,Ganjil,Genap
102,8,Genap,Genap,Genap
103,3,Ganjil,Ganjil,Genap
104,9,Genap,Ganjil,Ganjil
105,5,Ganjil,Ganjil,Genap
106,4,Genap,Genap,Genap
107,7,Ganjil,Ganjil,Genap
108,3,Genap,Ganjil,Ganjil
109,6,Ganjil,Genap,Ganjil
110,3,Genap,Ganjil,Ganjil
111,5,Ganjil,Ganjil,Genap
112,4,Genap,Genap,Genap
113,5,Ganjil,Ganjil,Genap
114,6,Genap,Genap,Genap
